,ts_code,trade_date,trade_date1,qid_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
139,399300.SZ,20230629,2023/6/29,2023/6/28,3821.8435,3836.7305,3840.7132,3817.3759,3840.7986,-18.9551,-0.4935,98289274,204110031.4
140,399300.SZ,20230628,2023/6/28,2023/6/27,3840.7986,3836.6086,3846.8516,3808.1607,3845.4334,-4.6348,-0.1205,107021541,206187959.9
141,399300.SZ,20230627,2023/6/27,2023/6/26,3845.4334,3811.6872,3851.8957,3806.3242,3809.6962,35.7372,0.9381,116992681,210097713.7
142,399300.SZ,20230626,2023/6/26,2023/6/21,3809.6962,3833.4436,3841.2862,3801.0537,3864.0323,-54.3361,-1.4062,133990419,247713845.8
143,399300.SZ,20230621,2023/6/21,2023/6/20,3864.0323,3909.1044,3920.1276,3864.0323,3924.2377,-60.2054,-1.5342,118346575,243630705.6
144,399300.SZ,20230620,2023/6/20,2023/6/19,3924.2377,3926.094,3937.4945,3918.473,3930.9079,-6.6702,-0.1697,122520318,266274081.3
145,399300.SZ,20230619,2023/6/19,2023/6/16,3930.9079,3957.0327,3957.0327,3922.4742,3963.3509,-32.443,-0.8186,134905848,268213068.6
146,399300.SZ,20230616,2023/6/16,2023/6/15,3963.3509,3932.2114,3968.0128,3928.5419,3925.4994,37.8515,0.9642,139760076,280374762.8
147,399300.SZ,20230615,2023/6/15,2023/6/14,3925.4994,3871.7746,3925.4994,3871.7746,3864.0247,61.4747,1.5909,128369938,282635910.9
148,399300.SZ,20230614,2023/6/14,2023/6/13,3864.0247,3872.7155,3891.6656,3862.0609,3864.9074,-0.8827,-0.0228,124955759,243932581.2
149,399300.SZ,20230613,2023/6/13,2023/6/12,3864.9074,3838.1287,3867.3034,3833.4598,3844.4324,20.475,0.5326,110924946,225435215.3
150,399300.SZ,20230612,2023/6/12,2023/6/9,3844.4324,3827.3253,3859.7156,3813.8577,3836.7026,7.7298,0.2015,126758543,240791270.5
151,399300.SZ,20230609,2023/6/9,2023/6/8,3836.7026,3822.4088,3836.7026,3811.2189,3820.1867,16.5159,0.4323,134319863,247296087.1
152,399300.SZ,20230608,2023/6/8,2023/6/7,3820.1867,3791.0826,3834.3888,3777.7752,3789.3418,30.8449,0.814,118700934,199119300.6
153,399300.SZ,20230607,2023/6/7,2023/6/6,3789.3418,3815.4823,3823.1124,3780.1021,3808.1629,-18.8211,-0.4942,98862432,189879792.2
154,399300.SZ,20230606,2023/6/6,2023/6/5,3808.1629,3840.4587,3867.8452,3802.8449,3844.2492,-36.0863,-0.9387,125781258,222091722.6
155,399300.SZ,20230605,2023/6/5,2023/6/2,3844.2492,3860.5557,3860.5557,3832.4578,3861.8337,-17.5845,-0.4553,116163989,211144360.1
156,399300.SZ,20230602,2023/6/2,2023/6/1,3861.8337,3821.6198,3865.2843,3821.6198,3806.8679,54.9658,1.4439,125015110,232696547.1
157,399300.SZ,20230601,2023/6/1,2023/5/31,3806.8679,3788.5902,3832.2051,3786.7344,3798.5434,8.3245,0.2191,134561881,241829546.4
158,399300.SZ,20230531,2023/5/31,2023/5/30,3798.5434,3827.1634,3827.1634,3781.4034,3837.7531,-39.2097,-1.0217,126387368,235606123.9
159,399300.SZ,20230530,2023/5/30,2023/5/29,3837.7531,3827.7924,3844.0052,3789.2736,3833.9416,3.8115,0.0994,137619629,244566265.5
160,399300.SZ,20230529,2023/5/29,2023/5/26,3833.9416,3862.0838,3866.7238,3819.1822,3850.9511,-17.0095,-0.4417,131859967,230095604.8
161,399300.SZ,20230526,2023/5/26,2023/5/25,3850.9511,3848.4174,3859.6291,3815.5701,3850.4996,0.4515,0.0117,100326439,191537814.9
162,399300.SZ,20230525,2023/5/25,2023/5/24,3850.4996,3851.4053,3861.3815,3817.8365,3859.0935,-8.5939,-0.2227,124150770,213313620.1
163,399300.SZ,20230524,2023/5/24,2023/5/23,3859.0935,3903.7818,3903.7818,3859.0935,3913.1882,-54.0947,-1.3824,137258265,211768410.5
164,399300.SZ,20230523,2023/5/23,2023/5/22,3913.1882,3968.2346,3971.939,3913.1882,3969.3277,-56.1395,-1.4143,118685077,189955815.3
165,399300.SZ,20230522,2023/5/22,2023/5/19,3969.3277,3941.0015,3985.4031,3935.8015,3944.5403,24.7874,0.6284,109116605,202185550.2
166,399300.SZ,20230519,2023/5/19,2023/5/18,3944.5403,3946.2215,3967.2816,3928.316,3956.0701,-11.5298,-0.2914,120212479,207094944.8
167,399300.SZ,20230518,2023/5/18,2023/5/17,3956.0701,3965.5162,3982.7178,3939.5526,3960.165,-4.0949,-0.1034,136533947,229134184.4
168,399300.SZ,20230517,2023/5/17,2023/5/16,3960.165,3971.7017,3982.6044,3945.7137,3978.2054,-18.0404,-0.4535,118448185,205195686
169,399300.SZ,20230516,2023/5/16,2023/5/15,3978.2054,4002.5237,4005.015,3966.9921,3998.8872,-20.6818,-0.5172,136833271,234840652.7
170,399300.SZ,20230515,2023/5/15,2023/5/12,3998.8872,3938.83,3998.8872,3923.0317,3937.7622,61.125,1.5523,176257362,279531163.5
171,399300.SZ,20230512,2023/5/12,2023/5/11,3937.7622,3987.769,3999.3831,3937.5274,3990.6637,-52.9015,-1.3256,144421728,228992923.4
172,399300.SZ,20230511,2023/5/11,2023/5/10,3990.6637,4005.7823,4018.0579,3988.4816,3996.8695,-6.2058,-0.1553,144804619,241052071.4
173,399300.SZ,20230510,2023/5/10,2023/5/9,3996.8695,4017.9358,4019.0587,3984.6287,4027.8754,-31.0059,-0.7698,207552709,309484851.7
174,399300.SZ,20230509,2023/5/9,2023/5/8,4027.8754,4065.439,4092.8501,4026.3886,4062.6624,-34.787,-0.8563,279306048,396422120.4
175,399300.SZ,20230508,2023/5/8,2023/5/5,4062.6624,4028.1056,4070.7724,4018.9608,4016.8774,45.785,1.1398,255583085,359539954.2
176,399300.SZ,20230505,2023/5/5,2023/5/4,4016.8774,4031.0946,4047.6015,3998.392,4030.2471,-13.3697,-0.3317,206626924,307694489.9
177,399300.SZ,20230504,2023/5/4,2023/4/28,4030.2471,4013.4713,4035.7832,4001.1259,4029.0858,1.1613,0.0288,227582846,345492506
178,399300.SZ,20230428,2023/4/28,2023/4/27,4029.0858,3993.2561,4030.4469,3993.2561,3988.4185,40.6673,1.0196,179508488,328936294
179,399300.SZ,20230427,2023/4/27,2023/4/26,3988.4185,3948.0313,3999.1302,3942.8152,3959.2323,29.1862,0.7372,153828195,304804002.6
180,399300.SZ,20230426,2023/4/26,2023/4/25,3959.2323,3950.2553,3975.6562,3934.6625,3962.6658,-3.4335,-0.0866,162702006,322062811.3
181,399300.SZ,20230425,2023/4/25,2023/4/24,3962.6658,3985.1055,3991.6868,3925.436,3982.6429,-19.9771,-0.5016,172555409,331110619.8
182,399300.SZ,20230424,2023/4/24,2023/4/21,3982.6429,4031.303,4033.6367,3967.907,4032.5672,-49.9243,-1.238,170099217,328375614.7
183,399300.SZ,20230421,2023/4/21,2023/4/20,4032.5672,4114.2642,4114.2642,4031.9123,4113.0192,-80.452,-1.956,180802435,347852011.6
184,399300.SZ,20230420,2023/4/20,2023/4/19,4113.0192,4122.9461,4125.8231,4094.0022,4124.5589,-11.5397,-0.2798,162706677,332172409.5
185,399300.SZ,20230419,2023/4/19,2023/4/18,4124.5589,4159.3938,4159.3938,4118.6261,4162.032,-37.4731,-0.9004,162554592,312219504.5
186,399300.SZ,20230418,2023/4/18,2023/4/17,4162.032,4139.3088,4169.6678,4138.4618,4149.3836,12.6484,0.3048,170184130,331545662.3
187,399300.SZ,20230417,2023/4/17,2023/4/14,4149.3836,4090.0719,4149.3836,4089.509,4091.9988,57.3848,1.4024,188773095,341831272.8
188,399300.SZ,20230414,2023/4/14,2023/4/13,4091.9988,4078.9703,4098.2151,4075.2049,4068.9786,23.0202,0.5657,150695682,306201501.4
189,399300.SZ,20230413,2023/4/13,2023/4/12,4068.9786,4081.3871,4088.8809,4059.5744,4097.2876,-28.309,-0.6909,156444295,300291020.8
190,399300.SZ,20230412,2023/4/12,2023/4/11,4097.2876,4102.3968,4108.2451,4090.2784,4100.1479,-2.8603,-0.0698,165965278,325425226.4
191,399300.SZ,20230411,2023/4/11,2023/4/10,4100.1479,4108.5062,4116.1247,4083.4946,4104.8118,-4.6639,-0.1136,153901333,324192952
192,399300.SZ,20230410,2023/4/10,2023/4/7,4104.8118,4132.0096,4132.2952,4099.0519,4123.2799,-18.4681,-0.4479,152453002,340822557.2
193,399300.SZ,20230407,2023/4/7,2023/4/6,4123.2799,4096.9009,4131.3126,4092.1848,4096.64,26.6399,0.6503,128676738,286567771.9
194,399300.SZ,20230406,2023/4/6,2023/4/4,4096.64,4084.132,4098.8332,4078.4048,4103.1052,-6.4652,-0.1576,150703374,328981851.6
195,399300.SZ,20230404,2023/4/4,2023/4/3,4103.1052,4089.2932,4103.1583,4080.0682,4090.5676,12.5376,0.3065,197146631,394443175.1
196,399300.SZ,20230403,2023/4/3,2023/3/31,4090.5676,4059.6227,4094.9376,4059.0607,4050.9257,39.6419,0.9786,182124313,382895558.4
197,399300.SZ,20230331,2023/3/31,2023/3/30,4050.9257,4045.4538,4063.5675,4039.9587,4038.5257,12.4,0.307,138842546,279863685.8
198,399300.SZ,20230330,2023/3/30,2023/3/29,4038.5257,4009.5573,4040.5023,3983.8958,4006.144,32.3817,0.8083,149901037,280004716
199,399300.SZ,20230329,2023/3/29,2023/3/28,4006.144,4013.5926,4017.7572,3992.6662,3999.5147,6.6293,0.1658,133743510,263866922.7
200,399300.SZ,20230328,2023/3/28,2023/3/27,3999.5147,4015.6973,4023.7834,3994.5999,4012.4771,-12.9624,-0.3231,131895117,248736921
201,399300.SZ,20230327,2023/3/27,2023/3/24,4012.4771,4023.3028,4023.3028,3987.0297,4027.0457,-14.5686,-0.3618,168482279,315474696.9
202,399300.SZ,20230324,2023/3/24,2023/3/23,4027.0457,4035.1564,4037.8417,4017.0028,4039.0895,-12.0438,-0.2982,159442330,295785588.9
203,399300.SZ,20230323,2023/3/23,2023/3/22,4039.0895,3985.9928,4039.0895,3983.9986,3999.4427,39.6468,0.9913,158887421,296479529.5
204,399300.SZ,20230322,2023/3/22,2023/3/21,3999.4427,3993.7849,4016.4495,3986.7093,3982.3782,17.0645,0.4285,149228970,265180992.1
205,399300.SZ,20230321,2023/3/21,2023/3/20,3982.3782,3948.1573,3982.7047,3948.1573,3939.077,43.3012,1.0993,145090679,251631985
206,399300.SZ,20230320,2023/3/20,2023/3/17,3939.077,3962.6625,3979.5485,3935.0161,3958.8194,-19.7424,-0.4987,205264970,319760032.6
207,399300.SZ,20230317,2023/3/17,2023/3/16,3958.8194,3971.1585,4004.2153,3945.2501,3939.1505,19.6689,0.4993,177433818,305541015.6
208,399300.SZ,20230316,2023/3/16,2023/3/15,3939.1505,3958.1962,3981.321,3936.4758,3986.902,-47.7515,-1.1977,152515644,246264286.4
209,399300.SZ,20230315,2023/3/15,2023/3/14,3986.902,4011.8444,4018.7495,3986.902,3984.6956,2.2064,0.0554,142026007,232101094
210,399300.SZ,20230314,2023/3/14,2023/3/13,3984.6956,3999.8803,4001.9415,3946.9405,4008.686,-23.9904,-0.5985,150544174,267224848.8
211,399300.SZ,20230313,2023/3/13,2023/3/10,4008.686,3962.6426,4008.686,3962.6426,3967.1352,41.5508,1.0474,143561370,242865516.8
212,399300.SZ,20230310,2023/3/10,2023/3/9,3967.1352,3991.7959,4004.3612,3966.428,4019.8505,-52.7153,-1.3114,123855409,218286956.1
