stock_code,年份,公司名称,评级日期,WindESG评级,ESG,管理实践得分,争议事件得分,E,S,治理得分,证监会行业,Wind行业
2464,2021,众应互联,2021/8/1,B,3.97,2.33,1.64,0,0.93,7.04,互联网和相关服务,互联网软件与服务Ⅲ
2465,2021,海格通信,2021/3/27,BBB,6.96,3.96,3,2.51,5.19,7.08,计算机、通信和其他电子设备制造业,通信设备Ⅲ
2466,2021,天齐锂业,2021/5/5,BBB,5.88,3.12,2.76,2.82,3.87,6.48,有色金属冶炼和压延加工业,金属、非金属与采矿
2467,2021,二六三,2021/8/1,BB,5.12,2.24,2.88,0,1.29,6.66,互联网和相关服务,多元电信服务
2468,2021,申通快递,2021/5/6,BB,6.06,3.24,2.82,1.76,2.99,8.69,邮政业,航空货运与物流Ⅲ
2469,2021,三维化学,2021/8/1,BBB,6.12,3.13,2.99,2.08,4.45,6.46,化学原料和化学制品制造业,建筑与工程Ⅲ
2470,2021,金正大,2021/8/1,B,3.98,2.32,1.66,0.48,4.11,5.13,化学原料和化学制品制造业,化工
2471,2021,中超控股,2021/8/1,BB,4.89,2.42,2.47,1.26,3.92,5,电气机械和器材制造业,电气设备
2472,2021,双环传动,2021/8/1,BB,5.45,2.45,3,0.92,2.67,6.05,通用设备制造业,机械
2473,2021,圣莱达3,2021/8/1,B,3.89,1.22,2.67,0,1.3,2.98,电气机械和器材制造业,电气设备
2474,2021,榕基软件,2021/4/14,BBB,6.84,3.84,3,6.94,4.94,6.13,软件和信息技术服务业,信息技术服务
2475,2021,立讯精密,2021/4/28,A,7.27,4.65,2.62,2.75,7,7.5,计算机、通信和其他电子设备制造业,电子设备、仪器和元件
2476,2021,宝莫股份,2021/8/1,BBB,6.05,3.05,3,2.64,3.26,6.91,化学原料和化学制品制造业,化工
2478,2021,常宝股份,2021/8/1,BB,5.4,2.44,2.96,0.55,3.48,5.86,金属制品业,金属、非金属与采矿
2479,2021,富春环保,2021/5/5,BBB,6.17,3.74,2.42,3.9,3.94,7.49,电力、热力生产和供应业,复合型公用事业Ⅲ
2480,2021,新筑股份,2021/8/1,BBB,5.89,3.14,2.75,0,5.42,6.08,通用设备制造业,机械
2481,2021,双塔食品,2021/8/1,BBB,6.27,3.32,2.95,3.1,3.27,6.96,食品制造业,食品
2482,2021,广田集团,2021/8/1,CCC,3.94,2.16,1.78,1.54,2.28,5.32,建筑装饰和其他建筑业,建筑与工程Ⅲ
2483,2021,润邦股份,2021/8/1,BBB,6.13,3.18,2.95,1.71,4.39,6.43,通用设备制造业,机械
2484,2021,江海股份,2021/8/1,BB,5.38,2.52,2.86,0.42,2.76,5.68,计算机、通信和其他电子设备制造业,电子设备、仪器和元件
