report_id,date,qid_date,stock_code,page,advance_reaction,star_analyst,title_len,num_sentence,avg_sentence_len,sd_sentence_len,num_authors,analyst_coverage,ln_page,ln_title_len,ln_num_sentence,ln_avg_sentence_len,ln_sd_sentence_len,ln_num_authors,ln_analyst_coverage,rm_rf,smb,hml,rmw,cma,broker_size,listed,ln_broker_size,prior_performance_avg,prior_performance_sd,broker_status,real_return,up_down,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,close,pclose,volume,trade_date
129134,2019/1/3,20190103,300483,10,0,1,28,14,88.57142857,48.5632346,1,2,2.302585125,3.33220458,2.639057398,4.483809471,3.882866859,0.693147182,1.098612309,-0.043711,0.003143,0.009858,0.010455,0.010951,142,1,4.962844849,0.559643679,0.339150499,8.664060267,0.014608,1,0,0,0,0,1,0,31.95,31.49,249000,20190104
110460,2019/1/3,20190103,300178,4,0,0,24,10,57.5,30.68631617,1,22,1.386294365,3.178053856,2.302585125,4.051784992,3.423816919,0.693147182,3.135494232,-0.043711,0.003143,0.009858,0.010455,0.010951,54,1,4.007333279,0.479376886,0.308458011,6.142037406,0.012687,1,0,1,0,0,0,0,8.78,8.67,9387950,20190104
128863,2019/1/3,20190103,300476,6,0,1,20,14,59.07142857,47.08876767,1,18,1.791759491,2.995732307,2.639057398,4.078747272,3.852034569,0.693147182,2.944438934,-0.043711,0.003143,0.009858,0.010455,0.010951,124,1,4.828313828,0.541021352,0.339997741,7.97074039,0.012579,1,0,0,0,0,1,0,11.27,11.13,6133725,20190104
130363,2019/1/3,20190103,300529,3,0,1,15,13,68.61538462,28.80581795,2,18,1.098612309,2.708050251,2.564949274,4.228516579,3.360577345,1.098612309,2.944438934,-0.043711,0.003143,0.009858,0.010455,0.010951,142,1,4.962844849,0.559643679,0.339150499,8.664060267,0.004634,1,0,0,0,0,1,0,41.19,41,1242965,20190104
131684,2019/1/3,20190103,300571,4,1,0,11,16,52.8125,43.39386297,1,18,1.386294365,2.397895336,2.77258873,3.966747999,3.770318031,0.693147182,2.944438934,-0.043711,0.003143,0.009858,0.010455,0.010951,82,1,4.418840408,0.525634471,0.34983468,8.58485184,-0.000957,0,0,1,0,0,0,0,41.76,41.8,2940929,20190104
132072,2019/1/3,20190103,300577,3,1,0,37,15,47.2,23.61412007,1,14,1.098612309,3.610917807,2.708050251,3.854393959,3.16184473,0.693147182,2.708050251,-0.043711,0.003143,0.009858,0.010455,0.010951,108,1,4.691348076,0.523526119,0.354827422,8.603370888,-0.011551,0,0,0,0,0,1,0,29.95,30.3,942636,20190104
105787,2019/1/4,20190104,300124,6,0,1,22,16,73.125,42.36430544,1,51,1.791759491,3.091042519,2.77258873,4.292170525,3.746306181,0.693147182,3.951243639,-0.043711,0.003143,0.009858,0.010455,0.010951,110,1,4.709530354,0.574959138,0.344136136,8.400434631,0.050689,1,0,0,0,0,1,0,21.35,20.32,15234471,20190107
131905,2019/1/4,20190104,300575,5,0,0,16,20,77.35,56.38375209,2,11,1.609437943,2.77258873,2.995732307,4.348340511,4.032181263,1.098612309,2.484906673,-0.043711,0.003143,0.009858,0.010455,0.010951,105,0,4.663439274,0.541166651,0.317216409,6.794586581,0.047506,1,0,0,0,0,1,0,44.1,42.1,1163131,20190107
101603,2019/1/4,20190104,300070,21,0,0,17,13,54.61538462,38.59162616,1,21,3.044522524,2.833213329,2.564949274,4.000315666,3.653035402,0.693147182,3.091042519,-0.043711,0.003143,0.009858,0.010455,0.010951,13,0,2.639057398,0.373297633,0.282096058,3.295836866,0.0125,1,0,1,0,0,0,0,8.1,8,29326532,20190107
97144,2019/1/4,20190104,300017,9,0,0,29,10,68.4,28.33443135,1,31,2.197224617,3.367295742,2.302585125,4.225372791,3.344077826,0.693147182,3.465735912,-0.043711,0.003143,0.009858,0.010455,0.010951,108,1,4.691348076,0.524198838,0.354629354,8.603370888,0.004762,1,0,1,0,0,0,0,8.44,8.4,56062934,20190107
